instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID_cor,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,persID,diocese,diocese_reg
﻿cle.oh.0100,﻿church,﻿St. Ronis,English,,,,﻿Stark County,﻿Stark County,﻿Massillon,﻿Massillon,﻿OH,,40.802379,-81.52292,,,,﻿ste_falk_001,﻿Rev.,﻿Stephen Falk,﻿C.PP.S.,,﻿who attends also Bethlehem once a month,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0358,﻿church,[Unnamed Institution],English,﻿English church,,,﻿Stark County,,﻿Massillon,,﻿OH,,,,﻿cle.oh.0038,﻿attended from Canton,﻿once a month,,,,,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0102,﻿church,﻿St. Joseph's,English,,,,﻿Lacas County,﻿Lucas County,﻿Maumee City,﻿Maumee,﻿OH,,41.560387,-83.654218,,,,﻿n_roupp_001,﻿Rev.,﻿Nicholas Rouppe,,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0105,﻿church,[Unnamed Institution],English,,,,,﻿Wood County,﻿Middletown and Six Miles Woods,﻿Middleton Township,﻿OH,,41.458519,-83.650809,﻿cle.oh.0102,﻿visited from Maumee City,,,,,,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0097,﻿church,[Unnamed Institution],English,,,,,,﻿Mariacamp,,﻿OH,,41.032914,-84.164616,﻿cle.oh.0074,﻿attended from Glandorf,,,,,,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0337,﻿church,﻿St. Genevieve,English,﻿vacant,,,﻿Holmes County,,﻿Mount Eaton,,﻿OH,,,,,,,,,,,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0122&0123,﻿church,﻿St. Peter's,English,,,,﻿Huron County,﻿Huron County,﻿Norwalk,﻿Norwalk,﻿OH,,41.2296,-82.603017,,,,﻿n_ponchill_001,﻿Rev.,﻿N. Ponchel,,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0356,﻿church,﻿St. Mary's,English,,,,,,﻿Ohio City,,﻿OH,,,,,,,﻿x_obermüller_001,﻿Rev.,﻿X. Obermüller,﻿C.PP.S.,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0131,﻿church,﻿St. Alphonsus',English,﻿German,,,﻿Huron County,﻿Huron County,﻿Peru,﻿Peru Township,﻿OH,,41.202367,-82.638066,,,,﻿j_b_dolweck_001,﻿Rev.,﻿J. P. Dolweck,,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0129,﻿church,[Unnamed Institution],English,"﻿church not dedicated; The Chuch of Thomson, Conneaut and Kingsville, attended from Painesville",,,﻿Lake County,﻿Lake County,﻿Plainsville,﻿Painesville,﻿OH,,41.724489,-81.245657,,,,﻿cha_coquerelle_001,﻿Rev.,﻿Ch. Coquerelle,,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0135,﻿church,﻿St. Patrick's,English,,,,﻿Lucas County,﻿Lucas County,﻿Providence,﻿Providence,﻿OH,,41.689439,-83.378939,,,,﻿m_bourjade_001,﻿Rev.,﻿M. Bourjade,,,"﻿who visits once a month the Chapel of German Township, also Riviere aux Toussaints and Laprairie",,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0141,﻿church,[Unnamed Institution],English,﻿church not dedicated,,,﻿Cuyahoga County,﻿Cuyahoga County,﻿Rockport,﻿Rocky River,﻿OH,,41.476822,-81.849757,,,,﻿l_filière_001,﻿Rev.,﻿L. Filieri,,,﻿who attends also the chapels of Beren and Olmstead,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0136,﻿church,[Unnamed Institution],English,﻿church not dedicated,,,﻿Portage County,﻿Portage County,﻿Randolph,﻿Randolph Township,﻿OH,,41.010492,-81.273907,,,,﻿m_steine_001,﻿Rev.,﻿M. Steine,,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0143,﻿church,﻿Holy Angels,English,,,,,﻿Erie County,﻿Sandusky City,﻿Sandusky,﻿OH,,41.449359,-82.723078,,,,﻿f_boff_001,﻿Rev.,﻿F. Boff,,,﻿who visits Bellevue,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
﻿cle.oh.0143,﻿church,﻿Holy Angels,English,,,,,﻿Erie County,﻿Sandusky City,﻿Sandusky,﻿OH,,41.449359,-82.723078,,,,﻿d_tighe_001,﻿Rev.,﻿D. Tigh,,,,,,,,1859,﻿,﻿,﻿,﻿Cleveland,Cleveland
