instID,placeName,orig,reg,sic,corr,city,Cleaned city name,state,Address,Latitude,Longitude,year,church_type,instName,language,instNote,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingPersID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,diocese,diocese_reg
﻿St. Joseph's,﻿Boston Highlands,,,,,﻿Pittsfield,﻿Pittsfield,﻿MA,"﻿, , Pittsfield, MA",42.4500845,-73.2453824,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Joseph's,﻿Boston Highlands,,,,,﻿Plymouth,﻿Plymouth,﻿MA,"﻿, , Plymouth, MA",41.9584457,-70.6672621,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿Our Lady of Refuge,,,,,,﻿Provincetown,﻿Provincetown,﻿MA,"﻿Our Lady of Refuge, , Provincetown, MA",42.0547136,-70.1846012,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. John's,﻿East Cambridge,,,,,﻿Quincy,﻿Quincy,﻿MA,"﻿St. John's, , Quincy, MA",42.2442933,-71.001448,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Mary's,﻿(new church building),,,,,﻿Quincy,﻿Quincy,﻿MA,"﻿St. Mary's, , Quincy, MA",42.2462941,-71.0287839,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Mary's,﻿(new church building),,,,,﻿Randolph,﻿Randolph,﻿MA,"﻿St. Mary's, , Randolph, MA",42.1687108,-71.0325476,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Mary's,﻿(new church building),,,,,﻿Reading,﻿Reading,﻿MA,"﻿, , Reading, MA",42.5235564,-71.1029921,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Joachim's,,,,,,﻿Rockport,﻿Rockport,﻿MA,"﻿St. Joachim's, , Rockport, MA",42.6554893,-70.6220368,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿(church building),﻿Roxbury,,,,,﻿West Roxbury,﻿West Roxbury,﻿MA,"﻿(church building), , West Roxbury, MA",42.2782373,-71.1599757,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. James',,,,,,﻿Salem,﻿Salem,﻿MA,"﻿St. James', , Salem, MA",42.5205117,-70.9051323,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿Immaculate Conception,,,,,,﻿Salem,﻿Salem,﻿MA,"﻿Immaculate Conception, , Salem, MA",42.5197473,-70.8954626,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿Immaculate Conception,,,,,,﻿Salisbury,﻿Salisbury,﻿MA,"﻿, , Salisbury, MA",42.841723,-70.8605982,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Peter's,,,,,,﻿Sandwich,﻿Sandwich,﻿MA,"﻿St. Peter's, , Sandwich, MA",41.7501584,-70.5085348,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Peter's,,,,,,﻿Saugus,﻿Saugus,﻿MA,"﻿, , Saugus, MA",42.4651421,-71.0110473,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Peter's,,,,,,﻿Scituate,﻿Scituate,﻿MA,"﻿, , Scituate, MA",42.195929,-70.7258633,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Peter's,,,,,,﻿Sheffield,﻿Sheffield,﻿MA,"﻿, , Sheffield, MA",42.1099885,-73.3551436,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Peter's,,,,,,﻿Shelburne Falls,﻿Shelburne Falls,﻿MA,"﻿, , Shelburne Falls, MA",42.6042514,-72.7392588,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
